loan_id,issue_date,term_months,loan_amnt,interest_rate,grade,sub_grade,emp_length_years,annual_income,dti,state,home_ownership,purpose,application_type,verification_status,delinq_2yrs,inq_last_6m,open_acc,revol_util,revol_bal,total_acc,earliest_credit_line_year,fico_low,fico_high,pub_rec,mort_acc,pub_rec_bankruptcies,default,default_date,last_pymnt_date,recoveries,collection_recovery_fee
17,2020-10-20,36,10600.0,9.97,B,B3,7,92100.0,9.06,NM,RENT,debt_consolidation,INDIVIDUAL,Verified,0,3,6,43.8,10780.0,9,2015,625,638,0,1,0,0,,2022-01-20,0.0,0.0
18,2022-05-31,36,15100.0,19.96,F,F3,11,41000.0,14.88,OH,MORTGAGE,credit_card,INDIVIDUAL,Not Verified,1,4,13,24.4,17670.0,20,1984,770,786,0,2,0,0,,2023-03-31,0.0,0.0
19,2022-09-11,36,25700.0,19.32,F,F4,4,88700.0,19.74,NV,OWN,credit_card,INDIVIDUAL,Verified,1,5,3,50.5,2240.0,6,2013,681,696,0,0,0,0,,2024-12-11,0.0,0.0
20,2020-09-18,36,17700.0,11.44,C,C5,11,57000.0,13.19,OR,RENT,debt_consolidation,INDIVIDUAL,Not Verified,0,2,12,26.0,23130.0,17,2014,657,670,0,0,1,0,,2022-02-18,0.0,0.0
21,2018-02-22,36,8200.0,15.68,E,E1,10,83700.0,7.95,GA,MORTGAGE,credit_card,INDIVIDUAL,Source Verified,0,2,9,57.3,6410.0,17,1998,607,632,1,1,0,0,,2018-07-22,0.0,0.0
22,2021-05-19,60,5100.0,16.19,E,E5,3,41100.0,24.43,TN,RENT,car,INDIVIDUAL,Source Verified,0,1,15,64.0,64870.0,20,2016,686,692,0,0,0,0,,2024-05-19,0.0,0.0
23,2018-02-08,60,9900.0,25.91,G,G1,1,84700.0,7.23,CO,MORTGAGE,credit_card,INDIVIDUAL,Source Verified,1,0,1,61.3,22390.0,3,1997,770,785,0,2,0,1,2018-06-08,2019-04-08,553.32,113.85
24,2024-09-09,36,19400.0,10.88,D,D5,6,64500.0,21.36,GA,RENT,credit_card,INDIVIDUAL,Source Verified,0,2,10,75.2,61940.0,13,2007,676,696,0,1,0,0,,2026-11-09,0.0,0.0
25,2021-05-15,36,19600.0,6.3,A,A3,1,156500.0,12.74,DE,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,1,1,9,26.3,4510.0,13,2016,735,762,0,0,0,0,,2023-01-15,0.0,0.0
26,2018-12-18,36,21800.0,5.96,A,A4,0,76300.0,26.52,DE,RENT,other,INDIVIDUAL,Not Verified,0,2,11,55.8,69450.0,13,2016,610,639,0,2,0,0,,2020-12-18,0.0,0.0
27,2021-02-20,36,16100.0,14.84,D,D2,4,86800.0,14.32,WA,RENT,credit_card,INDIVIDUAL,Not Verified,0,2,15,79.1,35280.0,18,2012,643,670,0,1,0,1,2022-11-20,2022-05-20,1666.16,263.53
28,2023-08-12,36,5700.0,18.1,E,E5,14,51900.0,5.68,TX,MORTGAGE,debt_consolidation,INDIVIDUAL,Source Verified,0,3,14,82.4,21570.0,23,1997,768,795,0,2,0,0,,2024-06-12,0.0,0.0
29,2021-05-16,36,10000.0,10.44,C,C3,4,78600.0,17.72,FL,RENT,debt_consolidation,INDIVIDUAL,Verified,0,3,9,58.1,6330.0,17,1980,731,737,1,1,0,0,,2022-01-16,0.0,0.0
30,2024-09-19,36,8100.0,13.23,D,D2,7,85900.0,12.12,FL,MORTGAGE,major_purchase,INDIVIDUAL,Source Verified,0,2,6,73.6,83300.0,9,2007,694,727,0,2,0,0,,2025-03-19,0.0,0.0
31,2021-05-20,60,13600.0,12.23,C,C2,8,54500.0,23.68,MT,MORTGAGE,debt_consolidation,INDIVIDUAL,Source Verified,0,2,8,37.1,23200.0,11,2016,658,674,0,5,0,0,,2022-08-20,0.0,0.0
32,2019-12-22,36,22400.0,9.43,C,C2,5,52200.0,20.31,UT,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,0,1,4,23.3,26830.0,15,1982,730,738,0,0,0,0,,2021-08-22,0.0,0.0
33,2024-05-08,36,21800.0,16.41,D,D3,4,42500.0,13.6,NM,MORTGAGE,major_purchase,INDIVIDUAL,Not Verified,0,2,4,50.1,14840.0,8,1996,693,698,0,0,0,0,,2024-12-08,0.0,0.0
34,2023-09-27,60,5500.0,7.01,A,A1,10,63500.0,10.98,IN,OWN,credit_card,INDIVIDUAL,Not Verified,0,2,4,47.3,63870.0,8,2007,713,725,0,0,0,0,,2024-08-27,0.0,0.0
35,2022-12-08,36,13800.0,16.55,E,E2,6,46200.0,10.32,PA,MORTGAGE,debt_consolidation,INDIVIDUAL,Not Verified,0,1,6,47.7,63070.0,7,1984,829,856,0,0,0,0,,2025-01-08,0.0,0.0
36,2024-02-29,36,15600.0,12.28,C,C4,5,77700.0,13.9,SD,RENT,small_business,INDIVIDUAL,Verified,0,1,9,67.2,12200.0,17,1999,684,711,0,2,0,0,,2025-01-29,0.0,0.0
37,2020-07-12,36,10600.0,17.94,E,E1,9,42800.0,27.55,NY,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,1,1,8,38.4,6530.0,13,2001,554,576,1,0,0,0,,2022-07-12,0.0,0.0
38,2021-10-29,36,10900.0,14.69,D,D3,1,61900.0,16.99,TX,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,0,0,8,50.1,624210.0,11,2016,696,725,0,1,0,0,,2022-04-29,0.0,0.0
39,2022-10-15,60,6100.0,7.8,A,A2,0,39300.0,24.63,WA,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,0,0,14,43.7,10080.0,18,1986,666,695,0,2,0,1,2023-01-15,2025-03-15,585.81,97.74
40,2019-08-29,36,13900.0,15.25,D,D3,0,124200.0,7.63,AL,RENT,debt_consolidation,INDIVIDUAL,Verified,0,4,5,45.2,25360.0,10,1998,557,587,0,1,0,0,,2020-11-29,0.0,0.0
41,2019-01-06,36,10100.0,12.47,C,C3,8,67100.0,4.55,SC,MORTGAGE,other,INDIVIDUAL,Verified,0,2,10,18.0,42370.0,16,2007,625,648,0,2,0,0,,2019-09-06,0.0,0.0
42,2019-12-09,36,8300.0,18.37,E,E2,5,66800.0,11.38,SC,RENT,major_purchase,JOINT,Source Verified,0,1,12,36.6,36340.0,17,2015,850,876,0,1,0,0,,2021-08-09,0.0,0.0
43,2024-03-23,36,14200.0,16.91,D,D3,9,91800.0,22.6,WV,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,1,1,3,54.5,132330.0,10,2004,614,645,0,2,0,0,,2025-05-23,0.0,0.0
44,2022-01-27,60,8900.0,18.58,D,D4,6,175700.0,15.98,MS,OWN,debt_consolidation,JOINT,Source Verified,0,1,6,82.6,13870.0,12,2003,754,761,0,0,0,0,,2025-12-27,0.0,0.0
45,2021-12-25,60,14500.0,12.62,C,C4,0,69200.0,24.23,CT,RENT,credit_card,INDIVIDUAL,Not Verified,0,2,7,22.6,53210.0,10,2016,700,713,0,1,0,0,,2024-04-25,0.0,0.0
46,2024-04-28,36,11800.0,10.34,C,C5,4,29100.0,26.85,AR,MORTGAGE,major_purchase,JOINT,Verified,0,0,9,48.2,77960.0,19,2009,687,711,0,1,0,0,,2026-11-28,0.0,0.0
47,2024-06-16,36,7500.0,13.94,C,C2,9,126800.0,11.3,HI,MORTGAGE,home_improvement,INDIVIDUAL,Verified,0,2,8,78.5,39990.0,11,1980,743,751,0,0,0,0,,2026-02-16,0.0,0.0
48,2024-02-18,36,14300.0,16.93,E,E2,4,31400.0,23.84,KY,RENT,debt_consolidation,INDIVIDUAL,Source Verified,1,1,4,29.8,52810.0,8,1988,643,672,0,1,0,0,,2026-02-18,0.0,0.0
49,2024-03-13,60,22100.0,10.17,C,C2,10,50400.0,27.72,IN,RENT,credit_card,INDIVIDUAL,Not Verified,0,3,2,45.2,48760.0,11,2004,658,667,0,0,0,0,,2024-05-13,0.0,0.0
50,2019-10-09,36,17600.0,15.24,D,D5,4,127500.0,25.23,VA,RENT,debt_consolidation,INDIVIDUAL,Verified,0,3,8,39.2,26930.0,18,1983,645,656,0,1,0,0,,2020-08-09,0.0,0.0
51,2018-05-07,36,11400.0,15.5,D,D4,8,55000.0,6.84,ID,MORTGAGE,other,JOINT,Verified,0,3,5,50.0,98680.0,9,2001,732,746,0,0,0,0,,2020-02-07,0.0,0.0
52,2019-10-22,36,10800.0,19.5,E,E4,0,48300.0,5.02,AL,MORTGAGE,medical,INDIVIDUAL,Not Verified,1,0,8,47.4,70780.0,12,2017,590,624,0,0,0,0,,2020-09-22,0.0,0.0
53,2019-07-20,36,11500.0,9.83,D,D2,5,77200.0,14.86,PA,RENT,debt_consolidation,INDIVIDUAL,Not Verified,0,3,15,31.2,40970.0,20,1994,774,784,0,2,0,0,,2020-02-20,0.0,0.0
54,2018-08-22,36,8400.0,15.97,D,D3,4,66500.0,15.12,SC,RENT,debt_consolidation,INDIVIDUAL,Not Verified,0,1,9,33.8,61600.0,16,1988,767,795,0,1,0,1,2019-02-22,2019-10-22,1491.39,147.81
55,2021-10-30,36,17000.0,12.03,B,B1,0,45200.0,23.9,AK,RENT,credit_card,INDIVIDUAL,Not Verified,1,1,10,52.1,10310.0,18,2009,683,701,0,0,0,1,2022-07-30,2022-01-30,0.0,0.0
56,2018-02-09,36,10500.0,10.98,C,C1,10,107200.0,11.23,MI,RENT,moving,INDIVIDUAL,Verified,0,3,1,68.9,59970.0,9,1999,721,729,0,0,0,0,,2019-06-09,0.0,0.0
57,2019-06-02,36,13400.0,21.77,F,F2,3,130000.0,20.91,TX,RENT,home_improvement,JOINT,Source Verified,2,1,7,50.7,10740.0,11,1996,580,591,0,2,0,1,2021-01-02,2021-07-02,1764.77,426.38
58,2020-03-04,36,23000.0,15.78,D,D2,3,142000.0,10.42,NH,RENT,debt_consolidation,INDIVIDUAL,Source Verified,0,1,7,61.7,18990.0,15,1994,713,723,0,1,0,0,,2022-06-04,0.0,0.0
59,2022-10-15,60,11900.0,20.15,F,F4,11,89600.0,20.42,NE,RENT,debt_consolidation,INDIVIDUAL,Verified,0,3,9,49.8,52340.0,16,1997,850,863,0,1,0,0,,2025-03-15,0.0,0.0
60,2023-11-28,36,13700.0,11.01,D,D4,6,45000.0,14.8,SC,MORTGAGE,major_purchase,INDIVIDUAL,Source Verified,0,1,9,48.8,38660.0,18,1993,724,738,0,2,0,0,,2024-03-28,0.0,0.0
61,2018-05-12,36,15700.0,20.71,F,F3,9,33200.0,20.51,FL,MORTGAGE,debt_consolidation,INDIVIDUAL,Source Verified,1,3,11,31.7,16420.0,15,1983,706,715,0,1,0,0,,2018-12-12,0.0,0.0
62,2024-06-19,60,15400.0,12.37,D,D4,0,18500.0,15.45,NM,MORTGAGE,home_improvement,INDIVIDUAL,Verified,2,1,10,62.3,42920.0,16,2006,732,765,0,2,0,0,,2024-10-19,0.0,0.0
63,2020-10-25,36,12800.0,17.18,D,D1,2,116800.0,2.55,NV,MORTGAGE,credit_card,INDIVIDUAL,Not Verified,0,4,9,33.9,24410.0,11,1996,741,772,0,2,0,0,,2021-12-25,0.0,0.0
64,2022-09-06,36,13000.0,10.22,C,C1,14,73600.0,21.56,RI,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,1,1,4,25.9,35150.0,12,1985,740,752,0,2,0,0,,2024-05-06,0.0,0.0
65,2024-08-01,60,7800.0,9.71,B,B4,9,52600.0,26.19,WA,MORTGAGE,major_purchase,INDIVIDUAL,Not Verified,0,4,8,49.8,17600.0,12,2003,663,680,0,1,0,1,2026-04-01,2026-01-01,833.39,91.03
66,2022-09-03,36,16600.0,13.89,D,D1,1,22800.0,12.15,NE,RENT,debt_consolidation,INDIVIDUAL,Source Verified,0,1,11,39.4,36680.0,17,1999,719,750,0,2,0,0,,2023-04-03,0.0,0.0
67,2020-03-09,60,11700.0,20.2,F,F1,6,34500.0,23.67,MA,RENT,debt_consolidation,INDIVIDUAL,Verified,0,1,8,86.3,36950.0,15,2007,656,676,0,1,0,0,,2022-10-09,0.0,0.0
68,2019-03-13,36,11200.0,19.06,E,E1,2,25100.0,13.71,CO,RENT,moving,INDIVIDUAL,Source Verified,0,0,5,72.5,39100.0,11,2008,807,821,0,5,0,0,,2021-01-13,0.0,0.0
69,2023-02-09,36,7400.0,14.57,D,D1,11,146200.0,8.55,WV,MORTGAGE,major_purchase,INDIVIDUAL,Not Verified,0,1,7,40.3,107660.0,10,1989,651,679,0,1,1,0,,2024-02-09,0.0,0.0
70,2018-09-24,36,7900.0,12.71,D,D5,0,93900.0,13.72,AZ,MORTGAGE,major_purchase,INDIVIDUAL,Verified,0,0,3,50.6,12020.0,12,2001,599,632,0,0,0,0,,2020-02-24,0.0,0.0
71,2024-10-29,36,14400.0,15.27,E,E2,7,32300.0,16.71,ND,MORTGAGE,debt_consolidation,JOINT,Not Verified,0,0,9,42.7,106190.0,12,1984,689,716,0,0,0,0,,2026-01-29,0.0,0.0
72,2020-09-24,60,24000.0,9.79,B,B3,7,162600.0,8.76,PA,RENT,home_improvement,INDIVIDUAL,Verified,0,0,5,44.5,57130.0,12,1982,842,857,0,1,0,0,,2023-08-24,0.0,0.0
73,2020-10-13,60,5200.0,14.56,D,D5,1,44500.0,27.45,SC,RENT,home_improvement,INDIVIDUAL,Verified,0,1,13,65.3,142520.0,18,1999,642,655,0,2,0,1,2021-05-13,2022-07-13,234.8,31.33
74,2024-05-10,60,9700.0,14.19,D,D3,4,80200.0,7.28,WV,RENT,debt_consolidation,INDIVIDUAL,Not Verified,0,1,16,45.8,20980.0,19,2007,737,758,0,0,0,0,,2026-04-10,0.0,0.0
75,2018-09-16,60,6600.0,14.21,E,E5,7,80300.0,14.21,MS,MORTGAGE,medical,INDIVIDUAL,Verified,0,1,13,26.9,61460.0,18,2004,687,699,0,2,0,0,,2020-09-16,0.0,0.0
76,2022-04-06,60,17700.0,15.86,D,D5,0,62800.0,11.54,DC,OWN,small_business,INDIVIDUAL,Not Verified,0,0,9,50.6,124730.0,19,2015,540,574,0,0,0,1,2023-09-06,2025-09-06,186.21,14.38
77,2022-05-14,36,6600.0,17.17,D,D3,0,56000.0,27.48,MD,MORTGAGE,debt_consolidation,INDIVIDUAL,Not Verified,0,3,2,61.3,43060.0,6,1984,604,625,0,2,1,0,,2023-03-14,0.0,0.0
78,2022-01-20,36,7800.0,5.0,A,A2,5,67400.0,7.45,UT,RENT,debt_consolidation,INDIVIDUAL,Verified,0,1,11,36.3,91170.0,12,2002,740,770,0,1,0,0,,2023-11-20,0.0,0.0
79,2021-06-03,36,10200.0,10.68,B,B4,2,56700.0,23.78,UT,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,1,2,14,40.2,21510.0,25,1993,667,700,0,1,0,0,,2024-02-03,0.0,0.0
80,2019-09-02,36,25200.0,11.38,B,B5,4,75900.0,19.38,MD,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,0,1,4,48.7,49080.0,8,1994,625,636,0,3,0,1,2020-02-02,2021-03-02,3378.85,382.51
81,2018-04-10,60,11700.0,13.37,D,D2,5,77600.0,9.27,MA,MORTGAGE,major_purchase,INDIVIDUAL,Source Verified,0,1,7,40.3,24840.0,11,1996,636,662,0,1,0,0,,2020-02-10,0.0,0.0
82,2020-09-28,36,13300.0,13.72,D,D4,2,49600.0,15.54,NV,RENT,debt_consolidation,INDIVIDUAL,Verified,0,1,12,23.9,16650.0,23,1994,724,737,0,1,0,0,,2021-09-28,0.0,0.0
83,2020-09-12,36,14300.0,16.54,E,E3,5,121300.0,16.72,MN,MORTGAGE,credit_card,JOINT,Source Verified,0,2,12,28.4,40090.0,19,1995,746,779,0,1,0,0,,2021-11-12,0.0,0.0
84,2022-10-26,36,10000.0,15.29,D,D5,7,41800.0,22.09,WY,MORTGAGE,medical,INDIVIDUAL,Source Verified,1,2,10,17.0,35740.0,13,1992,765,774,0,0,0,1,2024-04-26,2024-02-26,438.49,28.21
85,2023-06-01,36,4400.0,18.79,F,F4,9,82000.0,13.49,DE,OWN,debt_consolidation,INDIVIDUAL,Verified,0,0,12,33.9,240550.0,15,1986,669,701,0,4,0,0,,2025-01-01,0.0,0.0
86,2024-05-19,36,16600.0,12.8,D,D2,1,54900.0,22.42,LA,RENT,major_purchase,INDIVIDUAL,Verified,0,7,4,48.5,20570.0,13,1985,638,652,1,4,0,0,,2025-02-19,0.0,0.0
87,2019-11-29,36,7800.0,11.28,C,C4,3,41000.0,18.34,IL,RENT,debt_consolidation,INDIVIDUAL,Verified,0,1,11,82.0,128620.0,15,2011,730,758,0,1,0,1,2020-10-29,2020-09-29,416.24,101.57
88,2021-07-16,36,23200.0,13.44,D,D3,8,56800.0,21.16,MN,RENT,credit_card,INDIVIDUAL,Source Verified,0,2,12,22.1,18880.0,15,1991,773,790,0,3,0,0,,2022-08-16,0.0,0.0
89,2019-01-30,36,6500.0,14.12,E,E4,0,46000.0,11.83,AR,RENT,medical,INDIVIDUAL,Verified,0,1,11,74.4,30070.0,16,2014,749,759,0,0,0,0,,2020-07-30,0.0,0.0
90,2019-02-26,60,10400.0,14.4,E,E1,6,95100.0,16.31,AK,RENT,debt_consolidation,INDIVIDUAL,Verified,0,0,9,37.7,171620.0,13,2015,707,732,0,2,0,0,,2019-09-26,0.0,0.0
91,2020-11-01,36,11000.0,12.98,D,D5,6,62800.0,18.77,AZ,MORTGAGE,credit_card,INDIVIDUAL,Not Verified,0,1,11,41.1,6460.0,16,1991,703,731,0,3,0,0,,2022-06-01,0.0,0.0
92,2024-02-27,36,12700.0,18.34,E,E2,0,140500.0,18.57,ME,MORTGAGE,home_improvement,INDIVIDUAL,Not Verified,0,2,6,40.7,132990.0,10,1987,682,687,0,2,0,0,,2026-07-27,0.0,0.0
93,2021-03-22,36,13300.0,17.94,D,D2,4,39200.0,17.72,MO,RENT,major_purchase,INDIVIDUAL,Source Verified,1,0,14,0.0,70580.0,24,1984,679,684,0,2,0,0,,2022-07-22,0.0,0.0
94,2019-09-30,36,4700.0,18.35,E,E5,7,19800.0,32.65,IA,RENT,debt_consolidation,INDIVIDUAL,Source Verified,0,4,12,54.6,69450.0,18,2012,764,790,0,1,0,0,,2021-10-30,0.0,0.0
95,2022-05-12,36,10400.0,10.05,C,C5,5,82200.0,22.02,KS,MORTGAGE,major_purchase,INDIVIDUAL,Verified,0,1,11,66.8,32990.0,16,2013,743,767,0,1,0,0,,2022-11-12,0.0,0.0
96,2019-11-11,36,9400.0,16.9,E,E1,4,170700.0,23.09,MN,MORTGAGE,debt_consolidation,INDIVIDUAL,Source Verified,0,1,6,52.0,91420.0,14,2011,675,699,0,1,0,0,,2020-09-11,0.0,0.0
97,2020-11-27,36,6900.0,20.42,F,F1,6,86600.0,19.73,NV,RENT,credit_card,INDIVIDUAL,Verified,1,0,7,55.0,314120.0,9,1995,782,796,0,0,0,0,,2021-03-27,0.0,0.0
98,2023-05-28,36,17600.0,18.48,F,F2,9,39400.0,21.73,MD,RENT,debt_consolidation,INDIVIDUAL,Not Verified,0,5,12,19.1,16830.0,21,1986,631,658,0,1,0,0,,2025-10-28,0.0,0.0
99,2020-03-18,36,17900.0,11.95,D,D4,8,37700.0,19.39,DC,MORTGAGE,major_purchase,INDIVIDUAL,Verified,1,1,6,65.6,6230.0,9,1992,689,721,0,1,1,0,,2021-04-18,0.0,0.0
100,2021-04-20,36,9100.0,12.67,D,D5,2,201600.0,30.72,OR,RENT,debt_consolidation,INDIVIDUAL,Verified,0,3,8,68.8,60570.0,11,1988,684,702,0,1,0,0,,2022-11-20,0.0,0.0
101,2024-01-09,60,15400.0,7.72,B,B1,0,53700.0,17.58,AR,MORTGAGE,home_improvement,INDIVIDUAL,Source Verified,1,0,10,27.9,69330.0,15,2014,686,710,0,2,0,0,,2028-02-09,0.0,0.0
102,2021-10-11,36,22600.0,19.14,F,F1,8,37900.0,23.82,IL,OWN,debt_consolidation,INDIVIDUAL,Verified,0,1,8,40.0,32730.0,20,2002,712,718,0,1,0,0,,2021-11-11,0.0,0.0
103,2022-03-18,60,10500.0,10.09,B,B1,1,127400.0,32.6,MI,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,1,3,11,31.0,6230.0,16,2011,682,704,1,2,0,0,,2023-06-18,0.0,0.0
104,2024-01-23,36,13400.0,12.08,C,C4,3,61000.0,22.57,SD,RENT,small_business,INDIVIDUAL,Source Verified,0,2,10,56.4,28570.0,15,2009,705,722,0,0,0,0,,2025-01-23,0.0,0.0
105,2023-10-24,36,7500.0,16.24,E,E2,6,21700.0,16.01,OH,MORTGAGE,debt_consolidation,INDIVIDUAL,Not Verified,0,1,6,50.7,67240.0,8,1990,606,622,0,3,1,1,2025-05-24,2025-07-24,1154.36,207.36
106,2021-07-16,60,4300.0,14.58,D,D2,10,208100.0,12.86,NJ,RENT,debt_consolidation,INDIVIDUAL,Source Verified,0,2,12,37.8,19540.0,15,2016,689,710,0,2,0,0,,2022-06-16,0.0,0.0
107,2020-03-02,60,19200.0,15.46,D,D1,11,91300.0,14.53,TN,OWN,car,INDIVIDUAL,Verified,0,1,2,81.5,27320.0,15,1981,688,719,0,4,0,0,,2021-06-02,0.0,0.0
108,2024-04-19,36,4100.0,11.69,C,C4,6,28800.0,20.74,WY,MORTGAGE,debt_consolidation,INDIVIDUAL,Verified,0,1,12,59.1,8700.0,18,1988,686,698,0,1,0,0,,2025-04-19,0.0,0.0
109,2023-06-25,36,8600.0,8.97,B,B4,3,142600.0,30.49,UT,MORTGAGE,vacation,INDIVIDUAL,Not Verified,0,3,5,14.4,66920.0,6,1986,780,785,0,2,0,0,,2024-12-25,0.0,0.0
110,2019-08-23,36,10600.0,14.86,D,D2,1,37200.0,22.23,HI,MORTGAGE,debt_consolidation,INDIVIDUAL,Not Verified,0,2,9,29.9,12770.0,16,1992,647,680,0,0,0,0,,2021-12-23,0.0,0.0
111,2020-02-17,36,5900.0,10.48,C,C5,13,36000.0,15.29,MO,MORTGAGE,home_improvement,INDIVIDUAL,Source Verified,0,3,5,40.4,62900.0,12,2011,668,701,0,1,1,0,,2021-08-17,0.0,0.0
112,2024-09-21,36,13800.0,16.08,E,E1,4,40500.0,15.87,OK,MORTGAGE,credit_card,INDIVIDUAL,Verified,0,1,7,58.2,5810.0,15,2011,684,709,0,0,0,0,,2025-03-21,0.0,0.0
113,2024-08-03,36,15600.0,10.43,C,C4,8,192300.0,16.95,MT,MORTGAGE,major_purchase,INDIVIDUAL,Verified,2,1,4,51.7,89240.0,17,1985,720,731,0,1,0,0,,2025-03-03,0.0,0.0
114,2021-01-10,36,13600.0,13.4,D,D5,6,203800.0,8.62,OR,OWN,home_improvement,JOINT,Not Verified,0,0,12,45.5,35050.0,17,2007,658,679,0,1,0,0,,2022-03-10,0.0,0.0
115,2020-09-15,36,13100.0,20.86,F,F3,4,49000.0,14.8,FL,RENT,debt_consolidation,INDIVIDUAL,Source Verified,0,0,5,18.5,74180.0,12,1986,711,740,0,0,0,1,2021-01-15,2021-04-15,0.0,0.0
116,2019-07-12,60,11100.0,14.87,E,E1,3,169100.0,14.49,IN,RENT,house,INDIVIDUAL,Verified,0,3,4,45.3,143070.0,6,2002,695,722,0,1,0,0,,2022-08-12,0.0,0.0
117,2023-12-02,60,10000.0,10.8,D,D3,0,18800.0,37.45,TX,RENT,credit_card,INDIVIDUAL,Source Verified,0,2,11,50.0,36360.0,21,2009,685,717,0,3,0,0,,2025-03-02,0.0,0.0
118,2018-10-02,60,19100.0,16.0,D,D2,10,109400.0,24.49,IA,MORTGAGE,renewable_energy,INDIVIDUAL,Not Verified,1,3,5,62.1,59620.0,8,2015,659,672,0,0,0,1,2019-06-02,2020-05-02,2122.38,414.79
